1-gram,Frequency,Cluster
reject,708,4
us,706,4
education,702,4
continue,698,4
time,698,4
believe,693,4
union,679,4
way,677,4
interests,677,4
united,676,4
administration,675,4
one,671,4
protect,671,4
services,670,4
prevent,663,4
europe,661,4
take,659,4
oppose,658,4
president,639,4
necessary,635,4
energy,630,4
made,622,4
fight,620,4
democracy,617,4
american,617,4
change,608,4
german,606,4
trade,605,4
therefore,602,4
parties,589,4
life,588,4
civil,586,4
possible,586,4
local,583,4
measures,581,4
peace,572,4
including,571,4
parliament,569,4
forces,563,4
crime,561,4
tax,561,4
laws,560,4
war,555,4
justice,552,4
based,552,4
party,10026,5
years,2448,5
million,2210,5
new,2182,5
billion,2107,5
people,1938,5
percent,1849,5
year,1811,5
tax,1809,5
increased,1679,5
per,1503,5
increase,1424,5
support,1306,5
government,1251,5
public,1238,5
education,1193,5
social,1140,5
number,1124,5
health,1073,5
income,1063,5
country,970,5
first,965,5
rate,933,5
national,933,5
also,882,5
work,870,5
every,841,5
development,825,5
one,823,5
services,820,5
period,814,5
system,788,5
thousand,788,5
time,782,5
total,775,5
2002,774,5
jobs,748,5
tl,739,5
investment,733,5
care,730,5
sector,727,5
since,715,5
end,711,5
children,706,5
provide,677,5
euros,677,5
employment,652,5
pension,645,5
state,638,5
energy,616,5
must,616,5
within,607,5
ensure,600,5
world,591,5
want,589,5
economic,585,5
citizens,582,5
last,581,5
service,578,5
make,567,5
women,567,5
two,564,5
economy,555,5
federal,553,5
cent,549,5
budget,548,5
local,547,5
average,545,5
high,540,5
young,534,5
housing,531,5
countries,530,5
pay,530,5
next,529,5
training,525,5
families,523,5
least,519,5
1,519,5
provided,518,5
private,516,5
security,514,5
insurance,513,5
three,510,5
projects,498,5
10,495,5
continue,492,5
would,490,5
made,486,5
20,486,5
project,478,5
working,477,5
need,472,5
additional,466,5
students,465,5
benefit,463,5
5,459,5
programme,458,5
help,457,5
many,455,5
areas,454,5
party,10680,6
education,4767,6
people,3226,6
health,2800,6
children,2747,6
care,2708,6
support,2439,6
must,2278,6
social,2216,6
want,2045,6
schools,2029,6
work,1922,6
training,1885,6
services,1820,6
school,1800,6
ensure,1796,6
also,1766,6
new,1560,6
young,1560,6
system,1420,6
need,1359,6
women,1297,6
public,1263,6
family,1166,6
provide,1119,6
students,1085,6
make,1040,6
local,1025,6
child,1015,6
life,1001,6
rights,950,6
needs,942,6
parents,923,6
educational,920,6
families,907,6
opportunities,903,6
access,899,6
teachers,873,6
every,870,6
development,834,6
quality,826,6
free,817,6
working,803,6
right,796,6
state,786,6
help,785,6
time,780,6
youth,757,6
employment,743,6
improve,741,6
national,721,6
order,709,6
society,698,6
special,690,6
better,690,6
vocational,685,6
citizens,679,6
programs,676,6
continue,670,6
disabilities,662,6
equal,651,6
learning,640,6
service,634,6
conditions,625,6
well,623,6
use,620,6
good,616,6
disabled,611,6
sports,607,6
increase,601,6
take,595,6
policy,586,6
including,584,6
age,583,6
government,579,6
develop,573,6
medical,572,6
centers,570,6
federal,554,6
institutions,552,6
standards,549,6
skills,547,6
community,541,6
future,540,6
protection,538,6
areas,536,6
insurance,533,6
necessary,530,6
law,530,6
workers,513,6
possible,511,6
home,508,6
way,507,6
provided,500,6
housing,498,6
security,497,6
especially,495,6
private,492,6
participation,488,6
strengthen,484,6
party,5820,7
people,2672,7
social,1611,7
government,1609,7
many,1563,7
economic,1359,7
public,1293,7
new,1281,7
years,1261,7
country,1247,7
also,1182,7
must,1134,7
state,1110,7
economy,1106,7
system,1081,7
health,1058,7
work,1021,7
policy,966,7
time,923,7
tax,872,7
crisis,832,7
world,797,7
one,785,7
care,785,7
education,783,7
society,767,7
want,752,7
national,736,7
even,732,7
political,710,7
development,702,7
services,685,7
need,680,7
high,673,7
without,656,7
citizens,648,7
would,645,7
problems,635,7
security,629,7
children,627,7
women,610,7
market,606,7
jobs,604,7
financial,591,7
future,586,7
unemployment,582,7
life,581,7
poverty,581,7
countries,575,7
sector,570,7
federal,566,7
policies,559,7
support,553,7
labour,553,7
make,531,7
way,524,7
today,522,7
us,520,7
power,513,7
administration,510,7
european,509,7
needs,507,7
private,507,7
every,499,7
families,497,7
companies,496,7
often,494,7
housing,493,7
young,485,7
workers,480,7
eu,478,7
change,477,7
working,467,7
still,466,7
growth,464,7
become,458,7
american,452,7
lack,448,7
governments,445,7
since,438,7
result,438,7
increase,436,7
pay,435,7
rights,433,7
number,433,7
resources,429,7
year,426,7
money,418,7
current,414,7
due,413,7
problem,412,7
international,410,7
income,408,7
last,408,7
areas,406,7
energy,403,7
states,401,7
europe,395,7
conditions,395,7
much,395,7
